ticker,name,exchange,is_active
ADUS,ADDUS HOMECARE,NSDQ,Y
ADV,ADVEST GRP,,N
ADVBQ,ADVANTA CO CL B,,N
ADVC,ADVANT-E CORP,OTCBB,Y
ADVC.,ADV CIRCUIT,,N
ADVM,ADVERUM BIOT,NSDQ,Y
ADVNQ,ADVANTA CORP A,,N
ADVOF,ADVA OPTICAL,OTC,Y
ADVP.,ADVANCEPCS,,N
ADVS,ADVENT SOFTWARE,NSDQ,N
ADVTE,ADVANTAGE LIFE,,N
ADX,ADAMS DVSFD EF,NYSE,Y
ADXM,ADEX MEDIA INC,OTC,N
ADXN,ADDEX THERAPEUT,NSDQ,Y
ADXS,ADVAXIS INC,NSDQ,Y
ADY,FEIHE INTL INC,NYSE,N
ADYN.,AVIDYN INC,,N
ADYX,ADYNXX INC,OTC,Y
ADZA,ADEZA BIOMED CP,,N
AE,ADAMS RES&ENRGY,NYSE,Y
AEA,ADV AMER CASH,,N
AEC,ASSOC ESTATES,TSX,N
AECI,AMER ELEC COMPS,,N
AED,ALLIED DOMECQ,,N
AEE,AMEREN CORP,NYSE,Y
AEENQ,AILEEN INC,,N
AEF,ABERDN CHILE FD,NYSE,Y
AEG,AEGON N V,NYSE,Y
AEGG,AMER ENERGY GRP,OTC,Y
AEGN,AEGION CORP,NSDQ,Y
AEGN.,AEROGEN INC,,N
AEGR,AEGERION PHARMA,NSDQ,N
AEH.1,ALLEGIANCE CORP,,N
AEHR,AEHR TEST SYS,NSDQ,Y
AEIC,AIR EXPRESS INT,,N
AEIS,ADV ENERGY INDS,NSDQ,Y
AEL,AMER EQUITY INV,NYSE,Y
AELNA,AEL INDUS CL A,,N
AEM,AGNICO EAGLE,NYSE,Y
AEMD,AETHLON MEDICAL,NSDQ,Y
AEMI,ACCESS TO MONEY,,N
AEN.2,AMC ENTERTNMNT,,N
AENS,ALTERNATIVE EGY,,N
AENYQ,AMERICAS ENERGY,OTC,N
AEO,AMER EAGLE OUTF,NYSE,Y
AEOK,ALEXANDER ENRGY,,N
AEP,AMER ELEC PWR,NYSE,Y
AEPI,AEP INDS,NSDQ,N
AEPT,AMER EGY PTNRS,OTC,Y
AER,AERCAP HLDGS NV,NYSE,Y
AERG,APPLIED ENERGET,OTC,Y
AERI,AERIE PHARMACT,NSDQ,Y
AERI.,ALLERION INC,,N
AERL.,AERIAL COMMUN,,N
AERN,AER ENERGY RES,OTC,Y
AERO,AERO GROW INTL,OTC,Y
AERS,AERO SYS ENGNRG,,N
AERT,ADV ENV RCY TEC,OTC,N
AES,AES CORP,NYSE,Y
AESAY,AES TIETE-ADR,OTC,N
AESE,ALLIED ESPORTS,NSDQ,Y
AESK,AMER SKI CO,,N
AESP,AESP INC,,N
AET,AETNA INC-NEW,NYSE,N
AETCQ,APPLD EXTRUSION,,N
AETUF,ARC RESOURCES,OTC,Y
AEXAY,ATOS ORIGIN SA,OTC,Y
AEY,ADDVANTAGE TECH,NSDQ,Y
AEYE,AUDIOEYE INC,NSDQ,Y
AEZ,AMER OIL & GAS,TSX,N
AEZS,AETERNA ZENTARS,NSDQ,Y
AF,ASTORIA FINL CP,NYSE,N
AFAM,ALMOST FAMILY,NSDQ,N
AFAS,ARDEN INDL PROD,,N
AFBC,ADVANCE FIN BCP,,N
AFBG,AMER FIBER GREN,OTC,Y
AFBK,ALBEMARLE FIRST,,N
AFBR,ASIA FIBER HLDG,,N
AFCB,ATHENS BANCSHRS,OTC,N
AFCB.,AFFIL CMTY BNCP,,N
AFCI,ADV FIBRE COMM,,N
AFCO,AMERICAN FARMLD,ARCA,N
AFCO2,APPLD FILMS CP,,N
AFCX,AFC CABLE SYS,,N
AFFC,AMERIFED FINL,,N
AFFI,AFFINITY TECH,,N
AFFMQ,AFFIRM INS HLDG,OTC,N
AFFN,AFFINITY NTWRKS,OTC,Y
AFFX,AFFYMETRIX INC,NSDQ,N
AFFY,AFFYMAX INC,OTC,Y
AFG,AMER FINL GROUP,NYSE,Y
AFH,ATLAS FINL HLDG,NSDQ,Y
AFI,ARMSTRONG FLOOR,NYSE,Y
AFIC,ATLANTIC FINL,,N
AFIL,AMER FILTRONA,,N
AFIN,AMER FINANCE TR,NSDQ,Y
AFIS,PRINTRAK INTL,,N
AFL,AFLAC INC,NYSE,Y
AFLX,ADFLEX SOLUTION,,N
AFLYY,AIR FRANCE-ADR,OTC,Y
AFM,AMFM INC,,N
AFM.1,AMER RADIO SYS,,N
AFMD,AFFIMED N.V.,NSDQ,Y
AFMI,AFFINITY MEDIA,,N
AFMX,AFFYMAX N.V.,,N
AFOM,ALL FOR ONE MDA,OTC,Y
AFOP,ALLIANCE FIBER,NSDQ,N
AFPW,ALUMIFUEL PWR,OTC,Y
AFR,AMER FINL RLTY,,N
AFSC,ANCHOR FINL CP,,N
AFSE,ALL ENERGY CP,OTC,N
AFSI,AMTRUST FIN SVC,NSDQ,N
AFTC.,AMER FILM TECH,,N
AFTM,AFTERMASTER INC,OTC,Y
AFWY,AMER FREIGHTWAY,,N
AFYA,AFYA LTD,NSDQ,Y
AG,FIRST MAJESTIC,NYSE,Y
AGAI,AG ASSOCIATES,,N
AGAM,AGA MEDICAL HLD,,N
AGAM.,ACRES GAMING IN,,N
AGATQ,US AGGREGATES,,N
AGBA,AGBA ACQUISITN,NSDQ,Y
AGC.,AMER GENERAL,,N
AGCCQ,ANCHOR GLASS,,N
AGCH,AG CHEM EQUIP,,N
AGCO,AGCO CORP,NYSE,Y
AGCZ,ANDES GOLD CORP,OTC,Y
AGD.,ALARMGUARD HDGS,,N
AGD.2,APPLD GRAPHICS,,N
AGE,AGEX THERAPEUTC,NYSE,Y
AGE.,EDWARDS (AG)INC,,N
AGEN,AGENUS INC,NSDQ,Y
AGESY,AGEAS-ADR,OTC,Y
AGFS,AGROFRESH SOL,NSDQ,Y
AGHC,AEON GLOBAL HLT,OTC,Y
AGI,ALAMOS GOLD INC,NYSE,Y
AGII.,ARGONAUT GRP,,N
AGIL,AGILE SOFTWARE,,N
AGIO,AGIOS PHARMACT,NSDQ,Y
AGIS,AEGIS COMM GRP,,N
AGIXQ,ATHEROGENICS,,N
AGL.,ANGELICA,,N
AGLE,AEGLEA BIOTHERP,NSDQ,Y
AGM,FED AGRIC MTG-C,NYSE,Y
AGM.A,FED AGR MTG-A,NYSE,Y
AGMH,AGM GROUP HLDGS,NSDQ,Y
AGN,ALLERGAN PLC,NYSE,Y
AGN.,ALLERGAN INC,,N
AGNC,AGNC INVESTMENT,NSDQ,Y
AGNT,ARGONAUT TECH,,N
AGNUQ,AG&E HLDGS INC,OTC,Y
AGO,ASSURED GUARNTY,NYSE,Y
AGODY,ATLAS IRON LTD,OTC,N
AGP,AMERIGROUP CORP,TSX,N
AGPH.,AGOURON PHARM,,N
AGPPY,ANGLO AMER PLAT,OTC,N
AGPYY,AGILE PROPERTY,OTC,Y
AGR,AVANGRID INC,NYSE,Y
AGR.1,ARGENTARIA-CAJA,,N
AGR.B,AGERE SYS INC-B,,N
AGRI,AGRIDYNE TECH,,N
AGRNQ,AMERICA GRN TEC,,N
AGRO,ADECOAGRO SA,NYSE,Y
AGRPA,ASSOC GRP INC-A,,N
AGRX,AGILE THERAP,NSDQ,Y
AGS,PLAYAGS INC,NYSE,Y
AGS.2,SAGA SYSTEMS,,N
AGT.1,AMER GEN HSPTLY,,N
AGTC,APPLIED GEN TEC,NSDQ,Y
AGTK,AGRITEK HLDGS,OTC,Y
AGTY,AGILITY CAP INC,,N
AGU,AGRIUM INC,NYSE,N
AGX,ARGAN INC,NYSE,Y
AGX.,AGRIBRANDS INTL,,N
AGY,ARGOSY GAMING,,N
AGYS,AGILYSYS INC,NSDQ,Y
AGYTF,ALLERGY THERAPT,OTC,Y
AGZ,ISHARS-AGC BD,NYSE,Y
AH.,ARMOR HLDGS INC,,N
AHAG,ALPHA TECH GRP,OTC,Y
AHC,AH BELO CORP,NYSE,Y
AHCC,ARBOR HLTH CARE,,N
AHCHY,ANHUI CONCH CEM,OTC,Y
AHCI,ALLIED HLTHCR,,N
AHCI.,AMBANC HOLDING,,N
AHCO,ADAPTHEALTH CP,NSDQ,Y
AHE,AMER HLTH PROP,,N
AHEXY,ADECCO SA U-ADR,OTC,Y
AHG,APRIA HLTHCARE,,N
AHGP,ALLIANCE HLDGS,NSDQ,N
AHH,ARMADA HOFFLER,NYSE,Y
AHII.,ANIMAL HLTH INT,,N
AHIX,ALUF HOLDINGS,OTC,Y
AHIZQ,ALLIED HOLDINGS,,N
AHKSY,ASAHI KASEI CP,OTC,Y
AHL,ASPEN INS HLDGS,NYSE,N
AHL.,AMER HERITAGE,,N
AHLS,AHL SERVICES,,N
AHM.,AHMANSON (HF),,N
AHM.2,AMERSHAM PLC,,N
AHMIQ,AMER HOME MTG,OTC,N
AHNA,ATC HEALTHCARE,,N
AHNCQ,ATCHISON CASTNG,,N
AHNR,ATHENA SILVER,OTC,Y
AHOM,AMER HOMEPATIEN,,N
AHPI,ALLIED HLTHCARE,NSDQ,Y
AHROQ,ATHERONOVA INC,OTC,Y
AHT,ASHFORD HOSPTLY,NYSE,Y
AHT.,AIRCOA HOTEL LP,,N
AHTCQ,AHT CORP,,N
AI,ARLINGTON ASSET,NYSE,Y
AIBYY,ALLIED IRISH BK,OTC,N
AIC,AAMES INVSTMNT,,N
AICIQ,ACCEPT INS COS,OTC,N
AICOQ,AMCAST INDS,,N
AICX,APPLD IMAGING,,N
AIFC,AMER INDEM/FINL,,N
AIFS,AGENT INFO SOFT,OTC,Y
AIG,AMER INTL GRP,NYSE,Y
AIGI,ARTISTMSS INTL,OTC,Y
AIH,AESTHETIC MEDCL,NSDQ,Y
AIH.,ABLEST INC,,N
AIH.1,AMER INCOME HLD,,N
AIHI,AUTOMOTIVE INDS,,N
AIHS,SENMIAO TEC LTD,NSDQ,Y
AIII,ACRE REALTY INV,ARCA,Y
AIKI,ALKIDO PHARMA,NSDQ,Y
AILP,ALPNET INC,,N
AIM,AIM IMMUNOTECH,NYSE,Y
AIM.,AEROSONIC CORP,,N
AIMC,ALTRA INDUS MOT,NSDQ,Y
AIMM,AUTOIMMUNE INC,OTC,N
AIMT,AIMMUNE THERAPT,NSDQ,Y
AIN,ALBANY INTL A,NYSE,Y
AINC,ASHFORD INC,NYSE,Y
AIND,ARNOLD INDS,,N
AINE,ALLIANCE ENTMT,,N
AINN,APPLD INNOVATN,,N
AINV,APOLLO INV CP,NSDQ,Y
AINVS,AMERIBANC INV,,N
AIPC,AMER ITALIAN,,N
AIPN,AMER INTL PETE,,N
AIQ.,ALLIANCE HEALTH,,N
AIQUY,AIR LIQUIDE-ADR,OTC,Y
AIR,AAR CORP,NYSE,Y
AIRG,AIRGAIN INC,NSDQ,Y
AIRI,AIR INDUSTRIES,NYSE,Y
AIRL,AIRLEASE LTD,,N
AIRM,AIR METHODS CRP,NSDQ,N
AIRO,AIRSPAN NETWRKS,OTC,Y
AIRSQ,AMER AIRCARRIER,,N
AIRT,AIR T INC,NSDQ,Y
AIRV,AIRVANA INC,,N
AIRW.,ARROW AUTO,,N
AIRYY,AIR CHINA LTD,OTC,Y
AISIQ,ARIS INDUSTRIES,,N
AISLY,ASIA SATELLITE,,N
AISX,APPLD IMMUNE,,N
AIT,APPLD INDL TECH,NYSE,Y
AIT.1,AMERITECH CORP,,N
AITI,WUNONG ASIA PAC,,Y
AIV,APARTMENT INVT,NYSE,Y
AIVN,AMER INTL VENTR,OTC,Y
AIX.,ASTROTECH INTL,,N
AIXG,AIXTRON AG-ADR,NSDQ,N
AIZ,ASSURANT INC,NYSE,Y
AJAYQ,AJAY SPORTS INC,,N
AJG,GALLAGHER ARTHU,NYSE,Y
AJINY,AJINOMOTO,OTC,Y
AJL,AMWAY JAPAN-ADR,,N
AJMPF,ASHMORE GROUP,OTC,Y
AJRD,AEROJET ROCKETD,NYSE,Y
AJSB,AJS BANCORP INC,OTC,N
AJX,GREAT AJAX CORP,NYSE,Y
AK,ACKERLEY GP INC,,N
